id,usage,tookPart
0009d53b7aab05b1394b998101880fdcde61e6b576e280ad677f67f1c7ed1e75,0,TRUE
000aec56d8e0bb02ddb212a02c320e54e188e17435d72a5f87489b9c5c2b68c9,412,FALSE
000d13120eb0109f9db1b1feae7f4371b11cf3b0b94f9d0c1de33051e719eaf2,156,TRUE
000d443acf8b8c49cfb8fd1fcd9b6db2f15d3dc39549be1c4410a9f324d9366d,195,TRUE
001bdbc69da272ce9f7cafb335a01b329ae014830588342dc6bfdc95a0dfd7f7,75,FALSE
001eb51977b5aaa13be1898d4e463bbc1593e66b5d9b0cc7623c2e68a3cc422a,220,TRUE
001f39e8b243c526656529061fd1dff79cf5856ec3f65301107d7a45e88b6167,129,TRUE
00202a620fb9e74e87b32fe3580338f53c23d3509b29491f3c3ef05bfdb229e3,25,TRUE
0020d18a55d77d895dab0de3e5fad6219b8ef60726b4e0984a1e039a857e13da,82,TRUE
002a182143819224599bc06149fa54b72045e01c21560be6c96c82a4df9314e8,0,TRUE
002bcebcb7d18cd130e274f51a34be1f6b8e1ebd6aa0b86b78c764405d7d733c,116,TRUE
00363752b98651ec40cfad607e1ea06dc692a3f3345896ee90f121c6699aa251,567,TRUE
003b4589190059b76cf0034a20c00d24f3675e90a7d8ab31dbafb961c7714f7b,359,TRUE
003efb8b3eb723a03bb6c620d48b00b396f5c0b87000e8c939748b63bc83b99f,349,TRUE
0047afda23fa7384337a2af5e7ce555258c4addf196db329fbd2ae6e8a64c8bf,27,TRUE
004882584fe1c5f1f92169d1aab219aa4f6a3b4fc43690e110b1da7d9e5c3e30,169,TRUE
0048f42def9f5c0ab1a2a7f7e4111963a7e9cfc91c9e2dc975bc880e78d60b48,0,TRUE
004f09ebcfc05e87550a077b9099563b7808fa6562958076989bc418209157ec,146,TRUE
004f9173cbd305c5673ac1378f8591b03f5d1d6be640b51e9d5b1c5bb620f690,196,TRUE
004ff55ffe77c5fa2ffb567b1bff189e3b4b624a893913073366b12a8c8f3780,191,TRUE
005bac22798d55b1f173dd0955aa9230160a6dfe9cc6dacb076b2e59f487e62d,223,TRUE
005d509c0f3e14321c772820d9fa800018f5ea9def1bd078f86107479e166ae6,167,TRUE
0066a2fbd0ee25b9eae4c6a2e6b2bf85d5d113f22bb5b1ad4574fd794d9178bf,33,TRUE
006876597c874b811dd77a36630e418a7970b10b0e13b869ff79d01719297b00,39,TRUE
00689341cf5cc74e1d967ce64e67603f4b8a42a1e32ea2a0505af2b452e05480,141,TRUE
006d326d2221e04580d4e4790fc6939ea5accf74f035c8c2813b952847c75dcd,113,TRUE
007be6ad8053cbdcfa2a585f80a3237892182c64378cef5fb384d197337dc60b,362,TRUE
007ecff5cb2ecd7758c7fb50c98115ac070c00d3dc7bdde69b3b06c00adce5a2,240,TRUE
008237f3b0d15a71b4e0252d00a100c9d9a1c0d3233d6da34bcc44e1dec93d63,365,TRUE
00829ff221dff623d3eb19711a2c67818d426abe86782ec56a7141729e2ff508,248,TRUE
0083f2a336c97506f6ea6c9428745c32f407e7203a37c302595b32dfb009c844,1075,TRUE
