usage,tookPart
0,TRUE
412,FALSE
156,TRUE
195,TRUE
75,FALSE
220,TRUE
129,TRUE
25,TRUE
82,TRUE
0,TRUE
116,TRUE
567,TRUE
359,TRUE
349,TRUE
27,TRUE
169,TRUE
0,TRUE
146,TRUE
196,TRUE
191,TRUE
223,TRUE
167,TRUE
33,TRUE
39,TRUE
141,TRUE
113,TRUE
362,TRUE
240,TRUE
365,TRUE
248,TRUE
1075,TRUE
265,TRUE
612,FALSE
279,FALSE
180,TRUE
271,FALSE
130,TRUE
1110,FALSE
229,TRUE
426,TRUE
1195,FALSE
1081,TRUE
274,FALSE
155,TRUE
94,FALSE
238,TRUE
1,TRUE
197,FALSE
715,FALSE
479,TRUE
239,TRUE
159,FALSE
202,TRUE
1847,TRUE
250,TRUE
932,TRUE
229,TRUE
367,FALSE
224,TRUE
265,FALSE
6,TRUE
200,TRUE
119,TRUE
354,TRUE
59,FALSE
898,TRUE
180,TRUE
389,TRUE
282,TRUE
109,TRUE
3132,FALSE
229,TRUE
902,FALSE
100,TRUE
57,TRUE
152,FALSE
973,FALSE
6,FALSE
750,FALSE
457,TRUE
1136,TRUE
328,TRUE
142,FALSE
187,TRUE
75,TRUE
318,FALSE
501,FALSE
246,TRUE
3,TRUE
180,TRUE
109,TRUE
87,TRUE
219,FALSE
474,FALSE
193,TRUE
801,FALSE
24,FALSE
479,TRUE
187,TRUE
21,FALSE
281,FALSE
0,TRUE
318,FALSE
269,TRUE
357,TRUE
210,TRUE
37,FALSE
87,TRUE
458,TRUE
56,TRUE
202,FALSE
251,FALSE
121,TRUE
1785,FALSE
1174,TRUE
1350,FALSE
157,FALSE
930,FALSE
691,FALSE
208,FALSE
717,FALSE
199,FALSE
387,TRUE
292,TRUE
131,TRUE
1199,FALSE
78,TRUE
128,TRUE
850,FALSE
230,TRUE
207,TRUE
152,FALSE
1550,TRUE
106,TRUE
440,FALSE
1296,TRUE
62,TRUE
183,FALSE
1074,FALSE
2153,FALSE
1,TRUE
232,FALSE
79,FALSE
0,TRUE
343,FALSE
450,FALSE
172,FALSE
136,TRUE
489,FALSE
256,TRUE
89,TRUE
311,FALSE
266,FALSE
270,TRUE
71,TRUE
267,FALSE
83,FALSE
251,TRUE
370,TRUE
546,FALSE
407,FALSE
85,FALSE
1621,FALSE
241,TRUE
884,FALSE
154,FALSE
57,TRUE
7,FALSE
179,TRUE
287,TRUE
203,TRUE
165,TRUE
231,TRUE
67,TRUE
266,TRUE
259,FALSE
253,TRUE
195,TRUE
565,TRUE
108,FALSE
76,TRUE
313,TRUE
363,FALSE
388,TRUE
126,FALSE
65,TRUE
1276,FALSE
741,TRUE
25,FALSE
377,FALSE
176,TRUE
1742,TRUE
176,TRUE
213,TRUE
411,TRUE
345,TRUE
40,TRUE
258,FALSE
187,FALSE
177,TRUE
9206,FALSE
35,TRUE
789,FALSE
264,FALSE
1564,TRUE
121,TRUE
70,TRUE
0,TRUE
109,FALSE
1243,FALSE
232,TRUE
67,FALSE
112,TRUE
437,FALSE
727,FALSE
179,TRUE
213,TRUE
1297,TRUE
124,TRUE
64,TRUE
1350,TRUE
356,FALSE
225,FALSE
0,TRUE
22,FALSE
57,TRUE
1119,TRUE
5,FALSE
132,TRUE
167,FALSE
21,TRUE
156,TRUE
194,TRUE
38,TRUE
654,FALSE
219,TRUE
779,TRUE
36,TRUE
7,TRUE
744,TRUE
390,TRUE
223,TRUE
198,TRUE
456,FALSE
92,TRUE
67,TRUE
482,FALSE
220,FALSE
331,FALSE
1025,TRUE
119,TRUE
178,TRUE
50,TRUE
73,TRUE
375,FALSE
23,TRUE
301,TRUE
248,FALSE
244,TRUE
306,FALSE
4,TRUE
49,FALSE
84,TRUE
342,TRUE
929,FALSE
74,TRUE
94,TRUE
864,FALSE
118,TRUE
750,TRUE
48,TRUE
54,TRUE
244,TRUE
118,TRUE
2954,FALSE
219,FALSE
431,FALSE
71,TRUE
50,TRUE
84,FALSE
44,TRUE
934,FALSE
303,FALSE
284,FALSE
248,FALSE
126,FALSE
46,TRUE
124,TRUE
146,FALSE
164,TRUE
140,FALSE
321,TRUE
153,TRUE
143,TRUE
75,TRUE
55,TRUE
73,TRUE
1079,FALSE
232,TRUE
201,FALSE
120,TRUE
732,FALSE
464,FALSE
2460,FALSE
0,TRUE
384,FALSE
10,TRUE
104,TRUE
218,FALSE
40,FALSE
996,TRUE
222,FALSE
182,TRUE
141,TRUE
308,TRUE
400,FALSE
624,TRUE
10,TRUE
732,FALSE
700,FALSE
28,TRUE
191,FALSE
94,FALSE
85,TRUE
176,FALSE
302,FALSE
1083,TRUE
257,TRUE
205,TRUE
149,FALSE
1448,FALSE
1183,FALSE
161,TRUE
40,FALSE
468,FALSE
4,TRUE
60,TRUE
195,TRUE
206,TRUE
48,TRUE
663,FALSE
154,TRUE
3239,FALSE
129,TRUE
128,TRUE
282,FALSE
160,TRUE
317,FALSE
250,TRUE
286,FALSE
433,TRUE
15,TRUE
387,FALSE
66,TRUE
65,TRUE
195,TRUE
122,FALSE
66,TRUE
287,FALSE
197,TRUE
84,TRUE
353,TRUE
552,FALSE
146,TRUE
1370,FALSE
350,FALSE
229,FALSE
359,TRUE
1159,TRUE
278,TRUE
290,TRUE
184,TRUE
140,TRUE
355,FALSE
7,TRUE
272,FALSE
1,TRUE
356,TRUE
1377,TRUE
497,TRUE
452,TRUE
547,TRUE
2894,TRUE
237,TRUE
265,TRUE
151,FALSE
774,FALSE
21,FALSE
150,TRUE
1916,TRUE
65,TRUE
83,FALSE
39,TRUE
248,FALSE
258,TRUE
69,TRUE
1142,FALSE
167,TRUE
403,FALSE
302,TRUE
46,FALSE
58,FALSE
542,FALSE
178,TRUE
0,TRUE
58,FALSE
0,TRUE
53,TRUE
475,FALSE
611,TRUE
186,TRUE
176,FALSE
163,TRUE
90,TRUE
4,TRUE
67,TRUE
356,FALSE
443,TRUE
49,TRUE
227,TRUE
1685,FALSE
241,FALSE
181,FALSE
482,TRUE
186,TRUE
1897,FALSE
0,TRUE
502,TRUE
2160,FALSE
158,TRUE
405,TRUE
367,FALSE
36,TRUE
473,TRUE
1,TRUE
277,TRUE
146,TRUE
0,TRUE
166,TRUE
26,TRUE
56,TRUE
359,FALSE
1012,TRUE
285,TRUE
299,TRUE
445,TRUE
212,FALSE
323,FALSE
1807,FALSE
19,FALSE
417,FALSE
184,FALSE
37,TRUE
485,FALSE
223,TRUE
140,TRUE
441,FALSE
242,TRUE
687,TRUE
484,TRUE
199,TRUE
800,FALSE
315,FALSE
213,TRUE
223,FALSE
93,TRUE
129,FALSE
309,FALSE
59,TRUE
144,FALSE
267,TRUE
331,FALSE
1991,TRUE
257,FALSE
352,TRUE
157,TRUE
36,TRUE
105,TRUE
319,FALSE
46,TRUE
57,FALSE
214,TRUE
1052,FALSE
536,FALSE
49,TRUE
31,FALSE
238,FALSE
75,TRUE
1,FALSE
237,FALSE
94,TRUE
204,TRUE
567,FALSE
117,TRUE
359,TRUE
135,TRUE
1364,FALSE
1188,FALSE
132,FALSE
118,FALSE
849,TRUE
136,FALSE
224,TRUE
129,FALSE
227,TRUE
454,FALSE
19,TRUE
186,TRUE
183,TRUE
716,FALSE
277,FALSE
311,TRUE
318,FALSE
275,FALSE
1106,FALSE
95,TRUE
186,FALSE
126,FALSE
84,TRUE
135,TRUE
354,TRUE
301,FALSE
84,TRUE
403,FALSE
65,TRUE
168,TRUE
82,FALSE
31,TRUE
7,TRUE
172,TRUE
286,TRUE
78,TRUE
528,TRUE
622,TRUE
215,FALSE
115,FALSE
435,FALSE
187,FALSE
0,TRUE
46,TRUE
41,FALSE
29,TRUE
145,TRUE
99,FALSE
241,TRUE
1345,FALSE
185,TRUE
204,TRUE
24,TRUE
92,TRUE
275,TRUE
46,TRUE
121,TRUE
308,FALSE
101,FALSE
110,TRUE
238,FALSE
76,TRUE
118,TRUE
1149,FALSE
238,FALSE
163,TRUE
193,TRUE
99,TRUE
167,TRUE
20,FALSE
336,TRUE
148,TRUE
98,TRUE
112,TRUE
399,FALSE
337,TRUE
1047,FALSE
198,TRUE
1,TRUE
195,FALSE
1206,FALSE
126,FALSE
0,FALSE
185,TRUE
310,FALSE
1110,FALSE
266,TRUE
129,TRUE
743,FALSE
215,TRUE
73,TRUE
104,TRUE
18,TRUE
178,TRUE
107,FALSE
363,TRUE
840,FALSE
243,TRUE
426,FALSE
1309,FALSE
185,TRUE
1060,TRUE
104,TRUE
250,TRUE
84,TRUE
218,TRUE
171,FALSE
45,TRUE
46,TRUE
118,FALSE
40,FALSE
269,TRUE
127,TRUE
407,FALSE
202,TRUE
502,TRUE
82,TRUE
618,FALSE
651,TRUE
19,TRUE
6258,FALSE
0,TRUE
1140,FALSE
113,FALSE
46,FALSE
66,TRUE
20,TRUE
266,TRUE
44,FALSE
403,FALSE
210,TRUE
121,TRUE
774,TRUE
190,TRUE
69,TRUE
514,FALSE
29,TRUE
152,TRUE
84,TRUE
225,TRUE
43,TRUE
1395,FALSE
34,TRUE
156,TRUE
870,TRUE
443,FALSE
877,FALSE
497,TRUE
302,TRUE
143,FALSE
2,FALSE
88,TRUE
372,FALSE
448,TRUE
249,TRUE
41,TRUE
90,TRUE
2,TRUE
388,FALSE
77,TRUE
11,FALSE
38,TRUE
797,TRUE
129,FALSE
208,TRUE
36,TRUE
305,FALSE
182,TRUE
11,TRUE
92,FALSE
57,TRUE
447,FALSE
646,TRUE
148,TRUE
993,TRUE
255,TRUE
92,TRUE
178,TRUE
85,TRUE
491,FALSE
23,TRUE
485,FALSE
119,TRUE
994,FALSE
0,TRUE
258,TRUE
22,TRUE
91,FALSE
221,TRUE
71,TRUE
499,FALSE
1561,FALSE
167,TRUE
382,FALSE
488,TRUE
625,FALSE
176,TRUE
82,TRUE
1366,FALSE
46,TRUE
384,TRUE
123,TRUE
347,TRUE
168,TRUE
105,TRUE
281,FALSE
823,FALSE
240,TRUE
244,FALSE
212,TRUE
235,FALSE
256,TRUE
395,TRUE
61,TRUE
85,TRUE
316,TRUE
51,TRUE
67,TRUE
235,FALSE
148,TRUE
593,TRUE
268,TRUE
70,FALSE
144,FALSE
340,TRUE
48,TRUE
254,FALSE
425,TRUE
443,TRUE
443,TRUE
34,FALSE
0,FALSE
126,TRUE
63,FALSE
35,TRUE
249,FALSE
388,TRUE
186,FALSE
148,TRUE
221,TRUE
114,TRUE
366,FALSE
82,FALSE
109,TRUE
223,TRUE
1395,FALSE
0,TRUE
87,TRUE
0,TRUE
2636,FALSE
170,TRUE
1077,TRUE
132,TRUE
107,FALSE
541,TRUE
312,FALSE
367,TRUE
103,TRUE
1204,FALSE
442,FALSE
94,TRUE
547,FALSE
2042,TRUE
282,TRUE
1066,FALSE
209,TRUE
591,FALSE
276,FALSE
3185,FALSE
104,FALSE
1160,FALSE
421,FALSE
15,TRUE
191,FALSE
675,FALSE
472,TRUE
175,TRUE
85,TRUE
616,TRUE
775,TRUE
867,FALSE
128,FALSE
1173,FALSE
603,FALSE
351,TRUE
222,TRUE
154,TRUE
150,TRUE
45,TRUE
51,TRUE
55,TRUE
399,TRUE
58,FALSE
135,TRUE
186,TRUE
127,TRUE
839,TRUE
249,TRUE
283,TRUE
317,TRUE
564,FALSE
73,TRUE
176,TRUE
138,FALSE
863,TRUE
99,TRUE
826,FALSE
590,FALSE
240,FALSE
563,TRUE
224,TRUE
471,TRUE
83,TRUE
173,TRUE
502,FALSE
99,FALSE
119,TRUE
343,TRUE
177,FALSE
20,TRUE
95,FALSE
195,FALSE
221,TRUE
1072,FALSE
170,TRUE
188,FALSE
138,TRUE
1149,FALSE
181,FALSE
60,TRUE
277,FALSE
232,FALSE
747,FALSE
1,TRUE
120,TRUE
108,TRUE
161,TRUE
535,TRUE
236,TRUE
0,TRUE
95,FALSE
134,FALSE
128,TRUE
346,TRUE
539,FALSE
409,FALSE
190,TRUE
418,FALSE
994,FALSE
188,FALSE
302,TRUE
120,TRUE
223,FALSE
401,FALSE
280,TRUE
268,TRUE
0,FALSE
19,TRUE
488,FALSE
1,FALSE
180,TRUE
201,TRUE
831,FALSE
1098,FALSE
92,FALSE
371,TRUE
1401,FALSE
99,TRUE
59,FALSE
1007,FALSE
63,TRUE
201,TRUE
324,FALSE
2062,FALSE
175,TRUE
0,TRUE
174,FALSE
359,FALSE
205,TRUE
225,FALSE
511,FALSE
328,FALSE
916,FALSE
30,TRUE
174,TRUE
316,TRUE
593,FALSE
77,TRUE
1878,FALSE
164,FALSE
1844,TRUE
1006,FALSE
423,FALSE
81,TRUE
3503,TRUE
80,TRUE
1071,FALSE
1022,FALSE
166,FALSE
112,FALSE
2089,TRUE
0,TRUE
196,TRUE
245,FALSE
277,FALSE
178,TRUE
193,TRUE
0,TRUE
384,TRUE
112,TRUE
181,TRUE
638,TRUE
88,TRUE
342,TRUE
0,FALSE
90,FALSE
498,FALSE
919,FALSE
477,FALSE
93,TRUE
345,TRUE
86,TRUE
620,FALSE
367,FALSE
0,TRUE
104,FALSE
110,TRUE
1814,TRUE
42,TRUE
229,FALSE
144,TRUE
254,TRUE
37,FALSE
392,TRUE
64,TRUE
1,TRUE
66,TRUE
200,TRUE
789,TRUE
349,FALSE
798,TRUE
92,TRUE
108,TRUE
479,TRUE
229,FALSE
96,FALSE
2,FALSE
314,FALSE
189,FALSE
269,FALSE
88,TRUE
1907,TRUE
100,TRUE
559,FALSE
335,FALSE
81,TRUE
351,FALSE
6,TRUE
422,TRUE
208,FALSE
373,TRUE
156,TRUE
133,TRUE
648,TRUE
169,TRUE
1,TRUE
600,FALSE
216,TRUE
184,FALSE
83,TRUE
814,FALSE
44,FALSE
252,TRUE
315,TRUE
2097,TRUE
822,FALSE
290,TRUE
1310,TRUE
207,FALSE
0,TRUE
105,TRUE
633,TRUE
146,TRUE
165,TRUE
391,FALSE
168,TRUE
274,TRUE
362,FALSE
185,FALSE
82,TRUE
1003,TRUE
150,TRUE
170,FALSE
110,TRUE
588,TRUE
425,FALSE
241,FALSE
250,TRUE
53,FALSE
634,TRUE
1395,FALSE
290,TRUE
362,FALSE
431,FALSE
86,TRUE
874,TRUE
105,TRUE
268,TRUE
169,TRUE
912,FALSE
474,TRUE
137,TRUE
1973,TRUE
1089,FALSE
261,TRUE
0,FALSE
1161,TRUE
186,TRUE
103,TRUE
153,FALSE
1105,TRUE
114,TRUE
