"","sim","sample","type","control_mean","control_sd","beta","se","t_stat","pval"
"1",1,1500,"OLS",185.328983516484,253.509715807637,-1.75255864601725,13.4647487931736,-0.13015903028995,0.896458083097981
"2",2,2000,"OLS",181.038649706458,227.356252491223,10.5804709479385,11.5643638649622,0.914920273305769,0.360343887799949
"3",3,2500,"OLS",174.352407261247,226.222515896157,21.4853867371314,10.2603086776619,2.09402927456831,0.0363579258826682
"4",4,3000,"OLS",188.660040431267,256.785951279221,-10.6837871331137,9.12885756339461,-1.1703312335548,0.241960719379456
"5",5,3500,"OLS",185.592427616926,245.684522848184,-0.592134189696295,8.57893785119554,-0.0690218532838277,0.944976169700296
"6",6,4000,"OLS",180.712261846605,248.990303668108,8.16997061627253,7.87725627742921,1.03715942817324,0.299724286883921
"7",7,4500,"OLS",185.23995584989,239.995977618306,-3.52519074921841,7.37814136758588,-0.477788452889437,0.632823997732122
"8",8,5000,"OLS",184.125150662917,257.227742753595,-4.82088941241926,6.86338057831481,-0.702407415326945,0.48245783291243
"9",9,5500,"OLS",183.375632682574,248.989334483043,1.26902715648959,6.63700760322329,0.191204716395575,0.848372268873663
"10",10,6000,"OLS",184.814360484135,245.988605982922,2.87863985565499,6.48613091335952,0.443814639899703,0.657192612451329
"11",11,6500,"OLS",188.423242909988,249.362210431346,-3.85475396649841,6.201014250901,-0.621632818524536,0.534205143640443
"12",12,7000,"OLS",180.397223017463,248.065436522266,10.7701565091978,5.91975984925108,1.81935699816613,0.0688996942025856
"13",13,7500,"OLS",186.764058355438,258.510202203156,-3.74998328841316,5.68313524713769,-0.659844104590303,0.509374143995476
"14",14,8000,"OLS",189.10739979445,255.98498198432,-7.10873864547226,5.55662615219864,-1.27932642052219,0.200819245198515
"15",15,8500,"OLS",189.834644730567,259.1184430631,-8.15640506498387,5.39992369175571,-1.5104667270459,0.130961553772996
"16",16,9000,"OLS",186.508488003622,254.738885090244,-3.64434570768117,5.20789355223229,-0.699773463326467,0.484086879779824
"17",17,9500,"OLS",186.409651360544,249.201167749307,-6.97199498022724,5.00819961784141,-1.39211603215453,0.163919857861123
"18",18,10000,"OLS",183.020997634069,245.741595726474,-1.24471922497838,4.88388070732317,-0.254862741244269,0.79883435629333
"19",19,10500,"OLS",181.825741626794,243.19916461446,1.26563278078848,4.74587063288193,0.266680842924688,0.789720142899262
"20",20,11000,"OLS",184.731326848963,240.683549063372,-3.65854716962649,4.62417715871468,-0.791177985629644,0.428857197466591
"21",21,11500,"OLS",179.862369337979,244.872004384765,7.30716191202084,4.51949955246205,1.61680775209728,0.105947218367442
"22",22,12000,"OLS",185.117368158376,252.103953563057,-1.74827482058969,4.45537180963899,-0.392397064776363,0.694771824800773
"23",23,12500,"OLS",183.827269800386,244.484725451281,1.71352218434703,4.41865474353639,0.387792729643241,0.698176030456269
"24",24,13000,"OLS",185.515898617512,255.369994351591,-0.518209865585628,4.33663815009284,-0.119495758615353,0.904884446848152
"25",25,13500,"OLS",184.067283493708,247.256159788585,2.43434734394896,4.24136466549494,0.573953794577785,0.566008632227079
"26",26,14000,"OLS",184.851337816569,238.894398650015,1.7800984977942,4.18975418748294,0.424869435804209,0.670938386931168
"27",27,1000,"OLS",190.115087040619,258.265614663812,-12.6627060882377,17.7812238277541,-0.712139176183865,0.476545037990419
"28",28,1500,"OLS",200.652813299233,307.871250317149,-33.897938647422,13.2225276800576,-2.56365042052795,0.0104546342143824
"29",29,2000,"OLS",194.468292682927,289.691520366372,-16.9349593495935,11.4249255748271,-1.48228180907426,0.138423024910273
"30",30,2500,"OLS",183.133819951338,229.617047649323,3.58164966192158,10.2117681835981,0.350737462653562,0.72581489226398
"31",31,3000,"OLS",177.670740223464,218.944977602459,10.6959689602099,9.04002815207675,1.18317872248581,0.236832137890701
"32",32,3500,"OLS",186.842075892857,242.416236959574,-3.15150212236511,8.58230582826117,-0.367209254182873,0.713485150171654
"33",33,4000,"OLS",190.010229540918,255.648023954654,-10.6392375569504,7.8735245793961,-1.35126745965737,0.176686228802624
"34",34,4500,"OLS",182.363053097345,249.88159512563,2.26217011694067,7.37458730192214,0.306752096670013,0.75904627172322
"35",35,5000,"OLS",178.781618544124,226.265470526608,5.75065221541957,6.84600518096046,0.840001148613325,0.400947921852217
"36",36,5500,"OLS",188.615734011628,247.433305355839,-9.2252682183238,6.63661846381709,-1.39005553334429,0.164568288451955
"37",37,6000,"OLS",185.503094462541,247.690693424661,1.48103523029217,6.48588562305823,0.228347417201883,0.819383948694126
"38",38,6500,"OLS",185.212167532865,237.993088170736,2.57693125933155,6.20505035342092,0.415295785297029,0.677939098157867
"39",39,7000,"OLS",184.541271210814,238.764448726593,2.48725561291547,5.91842918413431,0.420256040164022,0.674311323025906
