"","type","sample","control_mean","control_sd","beta","se","arms","alpha_adj","mde","mde_prop"
"1","Logged",5500,4.56014975242021,1.34421074238499,0.0154230875563945,0.0361467750286109,5,0.0125,0.120705891260576,0.120705891260576
"2","Logged",7000,4.56010336496455,1.34918750470765,-0.00839122822261139,0.0322593485595654,4,0.0166666666666667,0.104378381535864,0.104378381535864
"3","Logged",9500,4.55717620143157,1.3498132396077,0.00381646538280543,0.0276463367960732,3,0.025,0.0852343187810869,0.0852343187810869
"4","Logged",14000,4.56319496111747,1.34820668419839,-0.00597011035917947,0.0227054560245346,2,0.05,0.0636112699688502,0.0636112699688502
"5","OLS",5500,186.085653650105,248.837714973241,0.999567900801403,6.763405429026,5,0.0125,22.5852203860792,0.121370024733588
"6","OLS",7000,183.59815657294,241.525418722087,4.916241701118,5.98369609308838,4,0.0166666666666667,19.360853262297,0.105452329280906
"7","OLS",9500,187.088206804496,253.531781157098,-1.5234022044979,5.14139588509741,3,0.025,15.8510467076566,0.0847249913738316
"8","OLS",14000,187.140559002978,253.406844523737,-0.939270534654768,4.25884618791938,2,0.05,11.9315205262917,0.0637569994973769
"9","Poisson",5500,187.778522263195,252.349265362547,-0.0114326342598533,0.0366289707915483,5,0.0125,0.12231610045023,0.12231610045023
"10","Poisson",7000,185.686446054476,252.502207939832,0.0157823213556627,0.0324878916356525,4,0.0166666666666667,0.105117855749026,0.105117855749026
"11","Poisson",9500,184.953979954508,248.03983389086,0.0126520752725594,0.0277758062097841,3,0.025,0.0856334760857971,0.0856334760857971
"12","Poisson",14000,186.366739358393,252.354121388789,0.000657535985418163,0.0228498112764728,2,0.05,0.0640156935088373,0.0640156935088373
